timestamp,frame_idx,max_confidence,streak_length,alarm_triggered
2026-01-09T08:50:29.895216,20,0.0449,1,0
2026-01-09T08:50:30.101321,40,0.0427,2,0
2026-01-09T08:50:30.180417,60,0.0000,3,0
2026-01-09T08:50:30.224736,80,0.4290,4,0
2026-01-09T08:50:30.264298,100,0.4225,5,0
2026-01-09T08:50:30.306002,120,0.4023,6,0
2026-01-09T08:50:30.346830,140,0.4021,7,0
2026-01-09T08:50:30.386054,160,0.4495,8,0
2026-01-09T08:50:30.439411,180,0.4337,9,0
2026-01-09T08:50:30.479068,200,0.3749,10,0
2026-01-09T08:50:30.518971,220,0.3805,10,0
2026-01-09T08:50:30.558092,240,0.3504,10,0
2026-01-09T08:50:30.597277,260,0.3545,10,0
2026-01-09T08:50:30.636206,280,0.3714,10,0
2026-01-09T08:50:30.674575,300,0.3868,10,0
2026-01-09T08:50:30.713491,320,0.3582,10,0
2026-01-09T08:50:30.751894,340,0.3666,10,0
2026-01-09T08:50:30.790490,360,0.6784,10,0
2026-01-09T08:50:30.829806,380,0.5054,10,0
2026-01-09T08:50:30.869365,400,0.8363,10,0
2026-01-09T08:50:30.908619,420,0.7593,10,0
2026-01-09T08:50:30.947447,440,0.8179,10,0
2026-01-09T08:50:30.987349,460,0.8053,10,0
2026-01-09T08:50:31.026509,480,0.7729,10,0
2026-01-09T08:50:31.066706,500,0.7618,10,0
2026-01-09T08:50:31.104631,520,0.7304,10,0
2026-01-09T08:50:31.143389,540,0.7532,10,0
2026-01-09T08:50:31.181792,560,0.7260,10,0
2026-01-09T08:50:31.220275,580,0.7654,0,1
2026-01-09T08:50:31.411879,600,0.7693,1,0
2026-01-09T08:50:31.450564,620,0.8191,2,0
2026-01-09T08:50:31.488290,640,0.7837,3,0
2026-01-09T08:50:31.526263,660,0.8208,4,0
2026-01-09T08:50:31.564307,680,0.7431,5,0
2026-01-09T08:50:31.602956,700,0.6859,6,0
2026-01-09T08:50:31.641046,720,0.7629,7,0
2026-01-09T08:50:31.679090,740,0.8236,8,0
2026-01-09T08:50:31.716864,760,0.6346,9,0
